Company Name,Website,Phone,Address,Emails Found,Status
Inventech,https://www.inventech.co.za/,+27 21 689 8885,"8 Cypress Rd, Newlands, Cape Town, 7700, South Africa",robin@inventech.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials af79cd13be357-93bedb3de58sm128119585a.37 - gsmtp')"
R&D Electronics,https://www.dimmers.co.za/,+27 21 551 6818,"Unit 17, Montigo Park, 3 Marconi Rd, Montague Gardens, Cape Town, 7441, South Africa",info@dimmers.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials af79cd13be357-93bedac229csm129821885a.23 - gsmtp')"
"Omron Electronics (PTY) LTD, Cape Town",http://www.industrial.omron.co.za/,+27 21 551 2448,"The Forum, Rostra Building, Unit G08, Century Way, N Bank Ln, Century City, Cape Town, 7441, South Africa","orders_ct@omron.com,orders_dbn@omron.com,orders_jhb@omron.com","error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 6a1803df08f44-91260968bf8sm14897536d6.2 - gsmtp')"
Netram Electronics,http://www.netram.co.za/,+27 21 300 3116,"Unit 123, Millennium Business Park, 19 Edison Way, Century City, Cape Town, 7441, South Africa","info@netram.co.za,your@email.com","error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 6a1803df08f44-91260a84fa5sm14602006d6.30 - gsmtp')"
FSK Electronics,http://www.fsk.co.za/,+27 21 510 1209,"Unit 43, Northgate Estate Gold St, Brooklyn, Cape Town, 7405, South Africa",marketing@amecor.com,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials af79cd13be357-93bedac21c7sm133260885a.22 - gsmtp')"
ElectroMechanica Cape Town,http://www.em.co.za/,+27 21 529 7000,"1 Edison Way, Century City, Cape Town, 7441, South Africa",info@em.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials d75a77b69052e-532ae51245dsm14588181cf.4 - gsmtp')"
Omnipless Manufacturing (PTY) Ltd a Thales Group Company,,+27 21 700 7000,"2 Westlake Dr, Westlake, Cape Town, 7945, South Africa",,
Deman Manufacturing (Pty) Ltd,http://deman-mfg.co.za/,+27 12 403 8000,"10 Steenbok St, Koedoespoort Industrial, Pretoria, 0186, South Africa",,
Technology Station in Electronics,http://www.tselectronics.co.za/,+27 76 553 3362,"and, Ditsela Place c/o Jan Shoba, Park St, Hatfield, Pretoria, 0001, South Africa",admin@tselectronics.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials af79cd13be357-93bedaaf901sm133258985a.21 - gsmtp')"
Leobot Electronics,https://leobot.net/,+27 82 776 7668,"1442 Cunningham Ave, Waverley, Pretoria, 0135, South Africa",info@leobot.net,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials af79cd13be357-93bed72215fsm132748485a.1 - gsmtp')"
EDM Electronics (Pty) Ltd,http://www.edmelectronics.co.za/,+27 12 993 2329,"Lobelia Office Park, 670 Lobelia St, Moreleta Park, Pretoria, 0181, South Africa",info@edmelectronics.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials af79cd13be357-93bedaef96csm130124785a.29 - gsmtp')"
Firmlogik,http://www.firmlogik.co.za/,+27 87 148 9826,"Unit 7, Factory @ N4, 78 Rooiberg St, The Willows 340-Jr, Pretoria, 0184, South Africa",annora.cloete@firmlogik.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 6a1803df08f44-91260a30d13sm15230326d6.11 - gsmtp')"
Leading Electronic Solutions (Pty) Ltd,http://leadingelectronics.co.za/,+27 12 803 9967,"x46, Cutman Creative, Unit S1, 230 Battery St, Silverton, Pretoria, 0184, South Africa","accounts@leadingelectronics.co.za,charl@leadingelectronics.co.za,gerhard@leadingelectronics.co.za,info@leadingelectronics.co.za","error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials af79cd13be357-93beda709a6sm129753685a.14 - gsmtp')"
EMS Industries,http://www.emsind.com/,+27 12 348 7464,"83 Kariba St, Lynnwood Glen, Pretoria, 0081, South Africa",,
Communica Pretoria,https://www.communica.co.za/,+27 12 328 7008,"Central Business District, 65 Francis Baard St, Pretoria Central, Pretoria, 0001, South Africa","accounts@communicagroup.com,customercare@communicagroup.com,logistics@communicagroup.com,marketing@communica.co.za,sales@communicagroup.com,support@communicagroup.com","error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials af79cd13be357-93befd5c2d0sm97632885a.4 - gsmtp')"
Aselsan-SA (Aselsan Elektronik Sanayi ve Ticaret AS),http://www.aselsan.com/,+27 12 349 2613,"Bldg 2, 2nd Floor, Summit Place Office Park, 221 Garsfontein Rd, De Beers, Pretoria, 0181, South Africa",,
TRX Electronics (PTY) Ltd,https://www.trxe.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,+27 86 111 2844,"697 Jacques St, Moreleta Park, Pretoria, 0044, South Africa",,
PCB Power Transformers,http://www.pcbpower.co.za/index.php?pg=contact,+27 11 474 4073,"19 Bunsen St, Industria, Johannesburg, 2042, South Africa","jono@jonotheron.co.za,sales@pcbpower.co.za","error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials af79cd13be357-93bedb5c5ffsm128255185a.40 - gsmtp')"
C-Boards,http://www.cboards.co.za/,,"22 12th Ave, Edenvale, 1609, South Africa",,
Projects Concern,http://www.projectsconcern.co.za/,+27 11 608 5210,"2 Friesland Dr, Westfield, Lethabong, South Africa",,
Circuitboard Manufacturing,http://circuitboard.co.za/,+27 12 653 0055,"UNIT 7, HENNOPS INDUSTRIAL PARK, 167 Edison Cres, Hennopspark, Centurion, 0146, South Africa",sales@circuitboard.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials af79cd13be357-93bedac2955sm131453185a.24 - gsmtp')"
ZS Electronics Spares and Components,http://www.anzelectronic.co.za/,+27 11 838 8134,"8 Vorster St, Johannesburg, 2113, South Africa",,
Procircuit,http://www.procircuit.co.za/,+27 21 931 1005,"20B Tredoux St, Beaconvale, Cape Town, 7500, South Africa",sales@procircuit.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials af79cd13be357-93bed72215fsm132753785a.1 - gsmtp')"
Trax Interconnect (Pty) Ltd,https://www.icape-group.com/our-companies/trax/,+27 21 712 5011,"2 Estmil Rd, Diep River, Cape Town, 7800, South Africa",,
WH Circuit PTY LTD,http://www.printedcircuitboards.co.za/%20%20%20%28UNDER%20CONSTRUCTION%29,+27 79 243 6106,"Unit 9, 23 Rotherfield Rd, Plumstead, Cape Town, 7808, South Africa",,
Barracuda Holdings (Pty) Ltd,https://barracuda.org.za/,+27 21 851 3357,"Unit 1, Bataleur Park, Olive Grove Industrial Estate, Ou Paardevlei Rd, Somerset West, Cape Town, 7130, South Africa",aengus@ivorygroup.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials d75a77b69052e-532ae750944sm14427221cf.25 - gsmtp')"
Muirlenium Technology (Pty) Ltd,https://muirlen.co.za/,+27 83 289 4071,"13 Rocklands Cl, Murdock Valley, Cape Town, 7975, South Africa",info@muirlen.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials d75a77b69052e-532ae5ef242sm14934781cf.5 - gsmtp')"
CIRCOR SOLUTIONS,http://www.circor.co.za/,+27 21 762 1171,"Hillstar Estate, 17 Hillstar Ave, Wetton, Cape Town, 7780, South Africa","info@circor.co.za,vnorton@circor.co.za","error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 6a1803df08f44-91260967307sm14870986d6.6 - gsmtp')"
POSMO ELECTRONICS cc,,+27 83 377 3060,"262 Molopo Ave, Sinoville, Pretoria, 0182, South Africa",,
Circuitron.co.za,https://circuitron.co.za/,+27 83 379 4512,"824 Swemmer St, Villieria, Pretoria, 0084, South Africa",,
Elan Systems South Africa Cc,http://www.elansystems.co.za/,+27 86 135 2647,"180 Corlett Dr, Bramley, Johannesburg, 2090, South Africa",info@elansystems.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials af79cd13be357-93beda709b1sm131442085a.7 - gsmtp')"
RENZ AUTOMATIONS,,+27 76 729 2259,"28 Griffith Rd, Newclare, Randburg, 2194, South Africa",,
Elegant Systems,https://elegantsystems.co.za/,+27 11 615 0144,"Unit 5, The Palms Office Park, 54 Van Buuren Rd, Bedfordview, Johannesburg, 1401, South Africa",,
Untamed Technologies,https://untamedtech.co.za/,+27 10 157 3329,"Corner, 1 Arbor Rd, Cresta, Randburg, 2194, South Africa",,
Nivia Automation,https://nivia.co.za/,+27 74 473 6532,"4 Cecilia Rd, Silvamonte, Sandton, 2192, South Africa",,
Rockwell Automation,https://www.rockwellautomation.com/en_ZA/overview.page,+27 11 998 1000,"1st Floor, Flushing Meadows, The Campus, Sloane St, Bryanston, Sandton, 2191, South Africa","%20privacy@ra.rockwell.com,privacy@ra.rockwell.com","error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials af79cd13be357-93bedb6759bsm131916485a.43 - gsmtp')"
Solid State Automation and Control,http://www.solid-state.co.za/,+27 83 505 4688,"11 Buttercup Ave, Weltevredenpark, Roodepoort, 1709, South Africa",info@solid-state.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials d75a77b69052e-532ae730a9fsm14399221cf.20 - gsmtp')"
Automation HQ (Pty) Ltd,https://automationhq.co.za/,+27 71 815 4556,"40 Alexandra Ave, Craighall, Johannesburg, 2196, South Africa",,
BHM Head Office,https://benkosi12.wixsite.com/bhmckvcollaboration,+27 67 047 0559,"54 Mons Rd, Bellevue, Johannesburg, 2198, South Africa",benkosi12@gmail.com,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials af79cd13be357-93befd5c2d0sm97640385a.4 - gsmtp')"
One Stop Automation,https://onestopautomation.net/,+27 83 266 2012,"Towerby, Johannesburg, 2190, South Africa",info@onestopautomation.net,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials af79cd13be357-93bedb59e91sm130389885a.39 - gsmtp')"
Automation Africa Kenilworth,https://automationafrica.co.za/,+27 21 674 6329,"117 Garfield Rd, Kenilworth, Cape Town, 7708, South Africa","brackenfell@automationafrica.co.za,info@automationafrica.co.za,kenilworth@automationafrica.co.za,tableview@automationafrica.co.za","error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 6a1803df08f44-91260aa15cdsm14580876d6.41 - gsmtp')"
Automation Africa,http://automationafrica.co.za/,+27 21 556 4981,"207 Blaauwberg Rd, Table View, Cape Town, 7441, South Africa","brackenfell@automationafrica.co.za,info@automationafrica.co.za,kenilworth@automationafrica.co.za,tableview@automationafrica.co.za","error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials af79cd13be357-93bedb7cf8bsm129842885a.46 - gsmtp')"
Megadrive Automation,http://www.megadrive.co.za/,+27 21 981 4363,"Mega Park, Fourie St, Brackenfell, Cape Town, 7560, South Africa",info@megadrive.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials d75a77b69052e-532ae614009sm14069841cf.13 - gsmtp')"
AI Automated Solutions,http://aiautomatedsolutions.co.za/,+27 67 158 9421,"20 Hoheizen Cres, Bellville, Cape Town, 7530, South Africa",ai@aiautomatedsolutions.net,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials d75a77b69052e-532ae72b292sm14354531cf.17 - gsmtp')"
FA Automation Solutions,https://faautosolutions.com/,+31 6 81906786,"20 Bloem St, Cape Town City Centre, Cape Town, 8000, South Africa","info@faautosolutions.com,you@company.co.za","error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials af79cd13be357-93bedaabcc8sm129181385a.20 - gsmtp')"
Automation Capital,http://www.automationcapital.co.za/,+27 21 891 0222,"The Glengariff, 229 Main Rd, Three Anchor Bay, Cape Town, 8005, South Africa","info@automationcapital.co.za,info@mysite.com","error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials d75a77b69052e-532ae5ef242sm14935701cf.5 - gsmtp')"
D&C Motor it Gate Automation,,+27 69 283 4876,"27 Gardiner Rd, Parow, Cape Town, 7400, South Africa",,
NC Automation,https://www.ncautomation.co.za/,+27 81 369 8798,"34 Saul St, Bracken Heights, Cape Town, 7560, South Africa",nico@ncautomation.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 6a1803df08f44-91260a69848sm14494056d6.24 - gsmtp')"
CIM AUTOMATION,https://www.cimautomation.co.za/,+27 21 531 1410,"Unit 5 Prestige Business Park, Democracy Wy, Montague Gardens, Cape Town, 7441, South Africa",sales@cimautomation.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 6a1803df08f44-91260a3097dsm14850486d6.8 - gsmtp')"
Tectra Automation Cape Town,https://boschrexroth.africa/en/tectra-automation,+27 21 510 7802,"9 Sapphire Park, Emerald St, Unclear, Cape Town, 7530, South Africa","africa@boschrexroth.co.za,alexander.weidemann@boschrexroth.co.za,andrew.vanrooyen@boschrexroth.co.za,andries.venter@boschrexroth.co.za,antonie.vanheerden@boschrexroth.co.za,armand.vanderwalt@boschrexroth.co.za,bettie.gagnepain@boschrexroth.co.za,brenton.lingard@boschrexroth.co.za,carmen@cubicice.com,christo.smith@boschrexroth.co.za,cobus.nieuwoudt@boschrexroth.co.za,drikus.vandijk@boschrexroth.co.za,eddie.norman@hytec.co.za,freddie.ludick@boschrexroth.co.za,frikkie.deklerk@boschrexroth.co.za,garth.chippendale@boschrexroth.co.za,gillian.allin@boschrexroth.co.za,grant.gould@boschrexroth.co.za,heathl@cubicice.com,hyeng.rfq@boschrexroth.co.za,iaan.dutoit@boschrexroth.co.za,info@boschrexroth.co.za,info@tectra.co.za,infoza@hagglunds.com,jaco.smit@boschrexroth.co.za,jan.jacobs@boschrexroth.co.za,jason.saunders@boschrexroth.co.za,johan.wessels@boschrexroth.co.za,julie.vandenberg@boschrexroth.co.za,justin.kruger@boschrexroth.co.za,louise.kleingeld@boschrexroth.co.za,mark.bergstrom@boschrexroth.co.za,michael.appel@boschrexroth.co.za,michelle.bruwer@boschrexroth.co.za,nick.boddy@boschrexroth.co.za,sylvester@cubicice.com,tarryn@cubicice.com,valenchia.swan@boschrexroth.co.za,wiets.pretorius@boschrexroth.co.za","error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 6a1803df08f44-91260a33c2dsm14813076d6.13 - gsmtp')"
Lambda Automation,http://www.lambdaautomation.co.za/,+27 12 940 2920,"N 4, Gateway Landing, N 4 Gateway Industrial Park, Willow Park Manor, Unit 7, 70 Banghoek Cresent, Pretoria, 0183, South Africa",,
Onicavox,http://www.onicavox.co.za/,+27 83 534 0979,"Villa Savoye Estate, 2066 Feather Dust Cres, Equestria, Pretoria, 0081, South Africa",info@onicavox.com,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 6a1803df08f44-91260aa20e4sm14577826d6.40 - gsmtp')"
SAR Electronic SA (Pty) Ltd,http://www.sarsa.co.za/,+27 12 523 9300,"59D Calliandra St, Montana Park, Pretoria, 0182, South Africa","rsa-pe@sar.biz,rsa@sar.biz","error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials af79cd13be357-93beda708d5sm132219285a.9 - gsmtp')"
Vertex Automation,https://vertex-automation.co.za/,+27 66 019 1476,"141 Cresswell Rd, Weavind Park, Pretoria, 0184, South Africa",info@vertex-sa.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials af79cd13be357-93bedb7cf8bsm129850585a.46 - gsmtp')"
Agora Automation (Pty)Ltd,http://www.agora-automation.co.za/,+27 82 363 7667,"N4 Gateway Industrial Park, Business Park, Unit 6 Amatole Rd, The Willows 340-Jr, Pretoria, 0183, South Africa",,
Automation Products (Pty) Ltd,https://www.autoproducts.co.za/,+27 12 333 8705,"216 Vonkprop Rd, Samcor Park, Pretoria, 0186, South Africa",sales@autoproducts.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 6a1803df08f44-91260a61570sm14857176d6.23 - gsmtp')"
Centurion Systems Pretoria,http://www.centsys.co.za/,+27 12 349 1745,"C17, 2 Meiring Naudé Rd, Scientia 627-Jr, Pretoria, 0081, South Africa",info@centurionsystems.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials af79cd13be357-93beda707c2sm131479285a.16 - gsmtp')"
Emenem Industrial,http://www.emenem.co.za/,+27 82 570 8093,"Unit 7, Aquila Park, 197 Lever Rd, Rosslyn, Pretoria, 0200, South Africa","chris@emenem.co.za,ernst@emenem.co.za","error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials af79cd13be357-93bedb6759bsm131929585a.43 - gsmtp')"
RJF Automation,,+27 68 661 7511,"Simon Vermooten Rd, Equestria, Pretoria, 0184, South Africa",,
RR Automation & Electrical,https://rrautomation.simdif.com/,+27 64 504 0415,"800 Highwood Ave, Faerie Glen, Pretoria, 0081, South Africa",,
Integral Systems,http://integralsystems.co.za/,+27 10 823 8333,"60 1st St, Booysens Reserve, Johannesburg South, 2135, South Africa",info@is-us.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials af79cd13be357-93bedac229csm129847385a.23 - gsmtp')"
Control IT,http://controlitav.co.za/,+27 82 670 6165,"1 Townsend St, Bedfordview, Germiston, 2008, South Africa",info@controlitav.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 6a1803df08f44-91260a8a0c0sm14432536d6.36 - gsmtp')"
Automated Control Solutions (ACS),http://www.acontrols.co.za/,+27 11 568 0236,"Unit 88, Block 8B, Northgate Office Park, Aureole Ave, Northriding, 2162, South Africa","sales@acontrols.co.za,sking@acontrols.co.za,sking@acontrols.coza,thall@acontrols.co.za","error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 6a1803df08f44-91260962cddsm15353296d6.3 - gsmtp')"
Allied Control Equipment,http://alliedcontrolequipment.co.za/,+27 83 708 1644,"139 6th St, Wynberg, Sandton, 2090, South Africa",info@alliedcontrolequipment.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 6a1803df08f44-91260a3204csm15416616d6.16 - gsmtp')"
Control Systems Integration Pty Ltd,http://www.controlsi.co.za/,+27 12 653 7901,"17, 14/15, 70 Jakaranda St, Hennopspark, Centurion, 0172, South Africa","csi@controlsi.co.za,csi@controlsi.com.au,esi@electricalsi.co.za","error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 6a1803df08f44-91260968826sm14945546d6.4 - gsmtp')"
MOTION CONTROL SYSTEMS,http://www.motioncontrolsystems.co.za/,+27 11 450 3344,"3 Riley Rd, Bedfordview, Germiston, 2007, South Africa",info@motioncontrolsystems.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 6a1803df08f44-91260a5f448sm15027716d6.20 - gsmtp')"
Control and Communication Industrial Design Solutions,http://ccids.co.za/,,"140 Barry Hertzog Ave, Greenside, Randburg, 2034, South Africa","ehannie@ccids.co.za,enquiries@ccids.co.za","error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 6a1803df08f44-91260a5f448sm15027806d6.20 - gsmtp')"
Victory Integrated Systems,,,"Willow Centre, 25, 379 Jan Smuts Ave, Craighall Park, 2196, South Africa",,
AICS - Advanced Industrial Control Systems,,+27 11 954 1461,"35 Warwick Rd, Chancliff AH, Krugersdorp, 1739, South Africa",,
Fluid Control Services,http://www.fcs-web.com/,+27 87 147 0861,"3 Van Beek Ave, Glenanda, Johannesburg South, 2091, South Africa","accounts@fcs-web.com,sales@fcs-web.com","error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 6a1803df08f44-91260a63c11sm14580406d6.26 - gsmtp')"
Industrial Motor Control CC,http://www.imc.co.za/,+27 21 704 1700,"Harris Dr, Ottery East, Cape Town, 7800, South Africa",,
Smart Industrial Control,https://smartindustrialcontrol.com/,+27 83 253 8699,"Unit 2, Business Park, Winelands Cl, Stikland Industrial, Cape Town, 7530, South Africa",sales@smartindustrialcontrol.com,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials d75a77b69052e-532ae750944sm14429441cf.25 - gsmtp')"
Centurion Systems Cape Town,http://www.centsys.co.za/,+27 21 510 0951,"Primo Park, Unit 9 Viro Cres, Stikland Industrial, Cape Town, 7530, South Africa",info@centurionsystems.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 6a1803df08f44-91260a86f62sm14579406d6.33 - gsmtp')"
Cape Automation Systems (Pty) Ltd,http://www.capeautomation.co.za/,+27 21 447 0996,"25b The Waverley Business Park, Weymouth Rd, Mowbary, Cape Town, 7705, Observatory, Cape Town, 7925, South Africa",info@capeautomation.co.za,"error: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8  https://support.google.com/mail/?p=BadCredentials 6a1803df08f44-91260a69848sm14495526d6.24 - gsmtp')"
